Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CUP 1-1,463.23752,off,0.000000,DTCS,88.5,88.5,532,NN,532,Tone->Tone,NFM,5.00,,5.0W,,,,,
2,CUP 2-1,464.1875,off,0.000000,DTCS,88.5,88.5,226,NN,226,Tone->Tone,NFM,5.00,,5.0W,,,,,
3,CUP 3-1,469.0125,off,0.000000,DTCS,88.5,88.5,131,NN,131,Tone->Tone,NFM,5.00,,5.0W,,,,,
4,CUP 4-1,468.65,off,0.000000,DTCS,88.5,88.5,25,NN,25,Tone->Tone,NFM,5.00,,5.0W,,,,,
5,CUP 5-1,465.8625,off,0.000000,DTCS,88.5,88.5,565,NN,565,Tone->Tone,NFM,5.00,,5.0W,,,,,
6,CUP 6-1,466.275,off,0.000000,DTCS,88.5,88.5,43,NN,43,Tone->Tone,NFM,5.00,,5.0W,,,,,
7,CUP 7-1,469.5875,off,0.000000,TSQL,88.5,97.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
8,CUP 8-1,468.6,off,0.000000,DTCS,88.5,88.5,315,NN,315,Tone->Tone,NFM,5.00,,5.0W,,,,,
9,CUP 9-1,461.9875,off,0.000000,DTCS,88.5,88.5,143,NN,143,Tone->Tone,NFM,5.00,,5.0W,,,,,
10,CUP 10-1,465.11252,off,0.000000,DTCS,88.5,88.5,411,NN,411,Tone->Tone,NFM,5.00,,5.0W,,,,,
11,CUP 11-1,467.475,off,0.000000,DTCS,88.5,88.5,632,NN,632,Tone->Tone,NFM,5.00,,5.0W,,,,,
12,CUP 12-1,464.7,off,0.000000,DTCS,88.5,88.5,712,NN,712,Tone->Tone,NFM,5.00,,5.0W,,,,,
13,CUP13-1,469.375,off,0.000000,DTCS,88.5,88.5,306,NN,306,Tone->Tone,NFM,5.00,,5.0W,,,,,
14,CUP 14-1,468.0875,off,0.000000,DTCS,88.5,88.5,315,NN,315,Tone->Tone,NFM,5.00,,5.0W,,,,,
